"","CODIGO","MUNICIPIO","AREAKM2","DD2000","DC","EVN2000","M1ANO2000","FT2000","AN25A2000","RPC2000","IG2000","II2000","IP2000","IDH2000","FE2000","ALFA2000","AE25A2000","POP25A1991","POP25A2000","POP65A1991","POP65A2000","POPTOT1991","POPTOT2000","POPURB2000","POPRUR2000","PERC_POP_25A","PERC_POP_65A","PERC_POP_URB","PERC_POP_RUR","key","Grupo"
"62",220025,"Alagoinha do Piauí (PI)",429.4,17,296.3897532,62.21,52.53,2.41,60.59,96.08,0.55,51.69,52.74,0.576,74.71,48.53,1.93,3296,3294,385,417,8074,6868,1948,4920,47.9615608619686,6.07163657542225,28.3634245777519,71.6365754222481,"220025","2"
"63",290070,"Alagoinhas (BA)",736.8,175.9,93.32022623,65.34,41.13,2.95,17.14,181.26,0.6,54.63,50.34,0.729,90.61,85.71,5.82,48178,62084,6074,8009,116894,130095,112440,17655,47.7220492716861,6.15627041777163,86.4291479303586,13.5708520696414,"290070","1"
"64",350075,"Alambari (SP)",159.6,23,128.6560127,68.71,20.97,3.05,13.46,210.69,0.52,52.03,34.21,0.748,76.89,88.87,4.58,1499,1807,177,253,3296,3650,2444,1206,49.5068493150685,6.93150684931507,66.958904109589,33.041095890411,"350075","1"
"65",310140,"Albertina (MG)",57.7,49.2,382.488279,72.38,21.91,2.59,20.55,214.7,0.47,43.6,28.7,0.747,66.66,83.87,3.82,1256,1546,164,228,2486,2841,1745,1096,54.4174586413235,8.02534318901795,61.4220344948962,38.5779655051038,"310140","1"
"66",250053,"Alcantil (PB)",252.9,19.4,148.8791358,62.47,51.53,3.41,41.1,68.8,0.49,46.34,52.77,0.606,81.98,66.21,2.39,1706,2319,359,441,4050,4958,1671,3287,46.7728922952804,8.89471561113352,33.7031060911658,66.2968939088342,"250053","2"
"67",210020,"Alcântara (MA)",1495.6,14.2,18.31347509,61.04,57.2,3.32,41.79,60.73,0.63,64.55,64.27,0.6,82.94,69.74,2.92,7320,8747,897,1196,19587,21291,5665,15626,41.0830867502701,5.61739702221596,26.6074867314828,73.3925132685172,"210020","2"
"68",230050,"Alcântaras (CE)",134.9,70.8,222.5759723,62.8,60.81,3.35,46.99,68.42,0.55,53.26,57.8,0.607,90.85,61.35,2.6,3440,4198,566,800,8606,9548,2762,6786,43.9673229995811,8.37871805613741,28.9275240888144,71.0724759111856,"230050","2"
"69",500025,"Alcinópolis (MS)",4413.7,0.8,255.2450116,69.46,27.06,2.92,19.33,192.47,0.53,55.39,42.67,0.745,81.82,85.63,3.92,2621,1832,159,119,6131,3679,2308,1371,49.7961402555042,3.23457461266649,62.7344387061702,37.2655612938298,"500025","3"
"70",290080,"Alcobaça (BA)",1510.9,14.9,510.6783779,61.15,56.73,3.25,36.35,116.63,0.57,57.13,51.21,0.637,83.01,69.69,3.24,5722,8975,649,1094,15638,20900,7446,13454,42.9425837320574,5.23444976076555,35.6267942583732,64.3732057416268,"290080","2"
"71",210030,"Aldeias Altas (MA)",1951.2,9.6,250.7240654,60.01,61.5,4.1,60.05,57.13,0.54,51.52,59.26,0.549,83.29,50.92,1.81,7106,7305,829,921,19520,18827,7375,11452,38.8006586285654,4.89191055399161,39.1724650767515,60.8275349232485,"210030","2"
"72",430030,"Alecrim (RS)",320.1,26.5,433.7103056,69.46,22.64,2.53,8.49,150.55,0.51,37.68,47.17,0.743,81.36,91.2,4.47,4983,4974,634,780,9912,8487,2069,6418,58.6072817249912,9.19052668787558,24.3784611759161,75.6215388240839,"430030","1"
"73",320020,"Alegre (ES)",778.6,40.7,133.8161597,68.63,27.29,3.02,21.29,216.98,0.58,36.38,38.31,0.739,78.81,83.27,5.21,14294,16572,2050,2685,30017,31714,19741,11973,52.2545248155389,8.46629248912152,62.2469571797944,37.7530428202056,"320020","1"
"74",430040,"Alegrete (RS)",7808.8,10.8,440.2679353,70.21,20.87,2.59,9.73,270.44,0.6,49.65,41.9,0.793,91.78,91.68,6.33,40051,45949,4742,6387,78784,84338,75092,9246,54.4819654248382,7.57309872180986,89.0369702862292,10.9630297137708,"430040","4"
"75",220027,"Alegrete do Piauí (PI)",263.7,17.9,321.5727831,58.89,66.36,2.66,54.77,97.91,0.56,44.7,51.4,0.566,73.75,52.15,2.2,1666,2169,212,261,4169,4713,2662,2051,46.0216422660726,5.53787396562699,56.4820708678124,43.5179291321876,"220027","2"
"76",430045,"Alegria (RS)",175.2,30.5,368.3166715,70.58,20.03,2.19,12.28,160.89,0.56,50.79,49.95,0.745,80.62,87.75,4.33,3111,3117,335,445,6247,5367,1607,3760,58.0771380659586,8.29141047139929,29.9422396124464,70.0577603875536,"430045","1"
"77",150040,"Alenquer (PA)",24496.8,1.7,694.5179787,67.39,36.16,4.53,22.05,87.66,0.58,47.07,52.38,0.673,75.52,80.85,3.96,12049,15134,1438,2104,35834,41784,25160,16624,36.2196055906567,5.03542025655753,60.2144361478078,39.7855638521922,"150040","2"
"78",240050,"Alexandria (RN)",420.4,32.6,317.655292,67.34,41.33,2.33,44.15,79.63,0.57,61.18,60.01,0.637,85.74,62.41,3.4,6177,6840,1070,1195,14580,13772,8890,4882,49.6659889631136,8.67702584954981,64.5512634330526,35.4487365669474,"240050","2"
"79",520030,"Alexânia (GO)",850.8,23.6,103.6477277,64.83,36.16,2.91,23.45,168.61,0.57,52.56,41.17,0.696,74.12,82.32,4.14,7056,9596,767,1081,16472,20047,15935,4112,47.8675113483314,5.39232802913154,79.4882027235995,20.5117972764005,"520030","3"
"80",310150,"Além Paraíba (MG)",512.5,65.5,264.3092817,69.12,31.41,2.21,11.65,294.34,0.57,32.45,33.82,0.777,80.61,90.63,6.12,16495,19206,2291,2991,30932,33610,31028,2582,57.1437072299911,8.89913716155906,92.3177625706635,7.68223742933651,"310150","4"
"81",310160,"Alfenas (MG)",849.2,78.6,273.7813461,76.85,11.44,2.24,10.11,357.09,0.58,56.68,32.32,0.829,77.71,91.47,6.13,25672,35370,2892,4227,52700,66957,62148,4809,52.8249473542721,6.31300685514584,92.8177785743089,7.18222142569112,"310160","4"
